,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
6853,У135АВ_60,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6854,У683СК_61,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6855,Т528УР_23,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6856,К800ОК_32,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6857,К934КР_39,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6858,А820АС_15,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
6859,О797ХЕ_68,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
6860,К805РО_52,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6861,Н158НО_27,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6862,Н671ОХ_45,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6863,С211СТ_88,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
6864,Т337МН_82,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6865,О607МХ_11,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6866,М115СТ_43,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6867,Н546ХС_12,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6868,Е368ТУ_17,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6869,О068МС_35,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,синий
6870,Р175ХО_45,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6871,У237ТХ_94,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,белый
6872,В405ЕН_18,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6873,У284ЕА_63,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6874,А145РТ_62,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,серый
6875,Х310НЕ_36,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6876,М124АХ_17,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6877,С531ТК_93,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,серый
6878,У119МХ_00,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6879,Р377РО_91,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6880,У546ВТ_17,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6881,А879ЕТ_68,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6882,Х676УВ_47,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6883,У319СТ_98,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6884,С345МС_72,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6885,Е425МР_43,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6886,А241КМ_21,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6887,У797ОР_07,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6888,О957МР_25,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6889,М226ТВ_45,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6890,О981ЕК_54,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6891,В233ВО_93,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6892,С878НМ_99,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6893,К001ОО_65,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6894,Х545ХХ_17,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,чёрный
6895,Р182ОУ_59,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
6896,Р217ВО_94,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6897,С546СЕ_07,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6898,У542ТУ_77,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6899,У180НА_36,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
6900,М091ЕР_70,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6901,А260АН_78,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6902,М858ВТ_33,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6903,А432ХН_09,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6904,С893ВМ_74,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6905,О844УР_44,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,чёрный
6906,У482КХ_54,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
6907,В418РВ_65,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6908,Р021КЕ_10,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,пурпурный
6909,Т485РМ_93,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6910,У250ЕР_02,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6911,М902УА_39,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6912,Е767ХС_45,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,серый
6913,Р797ЕО_78,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6914,В765УР_64,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,чёрный
6915,У389УК_91,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6916,С587ХК_54,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6917,М164АО_98,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6918,К666ЕО_57,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6919,О285УЕ_22,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6920,Н890КН_72,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6921,Н447ХЕ_08,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6922,С259ОУ_31,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6923,А688АМ_27,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6924,Е546ЕХ_73,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,чёрный
6925,В932РВ_43,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6926,О480ТМ_74,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6927,У912МТ_00,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6928,М933СР_69,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6929,Е076КН_38,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6930,Р981ХУ_29,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6931,М024ТТ_69,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6932,М601АМ_49,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,серый
6933,В711НХ_09,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,серый
6934,В680РТ_08,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6935,К550РХ_15,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6936,Х445ТС_01,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6937,Е965ОН_26,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
6938,В218НУ_86,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6939,О262МР_15,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6940,К684ОХ_94,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6941,М806НО_72,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6942,М195ТЕ_36,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6943,Е510УЕ_38,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,пурпурный
6944,К480АУ_17,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6945,В062НЕ_59,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,пурпурный
6946,Е384ЕТ_67,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6947,Е759РР_61,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6948,М620МХ_99,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,чёрный
6949,Р307АО_72,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6950,О853КА_65,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
